step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
161,PAYMENT,40933.3,C311813611,10121.0,0.0,M727492881,0.0,0.0,0,0
312,PAYMENT,3426.74,C1232550453,10425.0,6998.26,M1206460850,0.0,0.0,0,0
394,PAYMENT,33163.47,C1414707035,50945.0,17781.53,M1523549947,0.0,0.0,0,0
193,CASH_IN,54414.82,C306704049,198523.0,252937.82,C487095271,70023.78,15608.96,0,0
307,TRANSFER,343144.0,C108131259,0.0,0.0,C826029227,359081.34,702225.34,0,0
257,PAYMENT,3081.86,C1932892521,0.0,0.0,M1428309834,0.0,0.0,0,0
11,CASH_IN,283947.83,C1372995526,5220121.08,5504068.91,C627246508,530786.16,246838.33,0,0
301,CASH_OUT,131469.7,C1532735231,0.0,0.0,C1591900994,2252252.64,2383722.34,0,0
370,CASH_OUT,309001.69,C1855677745,25070.0,0.0,C1669570470,1509216.11,1818217.8,0,0
180,TRANSFER,1245190.5,C2013223779,0.0,0.0,C1617403293,1429190.09,2674380.59,0,0
274,CASH_OUT,59134.68,C781567638,0.0,0.0,C1340043749,118603.45,177738.13,0,0
183,PAYMENT,6587.54,C359453051,0.0,0.0,M1751960742,0.0,0.0,0,0
396,TRANSFER,4322215.47,C2121781071,0.0,0.0,C869140039,6420203.2,10742418.67,0,0
323,CASH_IN,115665.32,C896803634,1618452.62,1734117.94,C1361457328,255844.88,140179.56,0,0
345,PAYMENT,32002.35,C259511901,302905.0,270902.65,M302548381,0.0,0.0,0,0
380,CASH_OUT,280612.54,C1278479322,0.0,0.0,C1734563982,562899.22,843511.75,0,0
381,PAYMENT,35180.97,C1616809949,31220.19,0.0,M846205751,0.0,0.0,0,0
179,CASH_IN,784728.31,C769075182,45543.0,830271.31,C1325763647,323142.3,0.0,0,0
257,CASH_OUT,73503.1,C2043821206,103154.86,29651.75,C572791972,5895130.94,5968634.05,0,0
215,PAYMENT,4581.67,C1317285877,71627.0,67045.33,M884137925,0.0,0.0,0,0
156,PAYMENT,33373.55,C1644458851,121798.64,88425.09,M1480713414,0.0,0.0,0,0
202,CASH_OUT,347799.53,C2071552402,30198.0,0.0,C700147381,0.0,347799.53,0,0
21,CASH_OUT,99684.31,C899296382,31006.0,0.0,C1919648596,398138.89,482306.88,0,0
39,CASH_IN,23608.03,C1893164067,899716.28,923324.31,C847641985,107757.81,84149.78,0,0
157,CASH_OUT,269055.92,C1101893579,0.0,0.0,C547241252,2031898.66,3207068.67,0,0
40,PAYMENT,5651.1,C657196782,0.0,0.0,M143387217,0.0,0.0,0,0
402,CASH_OUT,240227.2,C1558892570,0.0,0.0,C1365509078,312164.72,552391.92,0,0
503,PAYMENT,3139.81,C584432721,50635.0,47495.19,M1294158685,0.0,0.0,0,0
402,CASH_OUT,429667.32,C363231971,0.0,0.0,C1927950312,1069276.1,1498943.43,0,0
396,PAYMENT,13305.24,C1352700140,0.0,0.0,M1671230076,0.0,0.0,0,0
230,CASH_OUT,646085.28,C736606933,3544.0,0.0,C118173848,527877.27,1173962.56,0,0
37,CASH_IN,304140.43,C143381504,51018.0,355158.43,C1774447717,187602.2,0.0,0,0
189,PAYMENT,1159.95,C1683808386,0.0,0.0,M1635421422,0.0,0.0,0,0
262,PAYMENT,22037.34,C1060442134,0.0,0.0,M1083007001,0.0,0.0,0,0
1,TRANSFER,637161.0,C1846982837,0.0,0.0,C1789550256,1166259.76,4619798.56,0,0
590,CASH_OUT,227691.19,C364693100,0.0,0.0,C438321490,1281236.11,1508927.3,0,0
260,CASH_OUT,211246.33,C1508722450,0.0,0.0,C952752667,315510.59,526756.93,0,0
352,CASH_OUT,88387.24,C214580199,64069.0,0.0,C838017197,0.0,88387.24,0,0
382,PAYMENT,385.0,C463756841,22117.0,21732.0,M368657049,0.0,0.0,0,0
179,TRANSFER,74430.62,C1283076780,0.0,0.0,C793315160,5308699.55,5383130.17,0,0
373,CASH_OUT,148198.91,C296306560,0.0,0.0,C1563365250,825228.51,973427.41,0,0
308,PAYMENT,4939.6,C102366593,611.0,0.0,M767719286,0.0,0.0,0,0
156,CASH_IN,168798.81,C1842258568,4830136.66,4998935.47,C821497268,1611215.91,1442417.09,0,0
321,PAYMENT,25448.82,C110883097,230557.17,205108.35,M1621961452,0.0,0.0,0,0
129,CASH_OUT,191145.56,C873380930,29713.0,0.0,C1376298229,337232.91,528378.47,0,0
283,CASH_OUT,8878.03,C522430666,1346.0,0.0,C294493320,0.0,8878.03,0,0
9,PAYMENT,15795.24,C1249820198,0.0,0.0,M727051267,0.0,0.0,0,0
401,PAYMENT,4280.11,C1469060082,257499.0,253218.89,M1684305562,0.0,0.0,0,0
10,CASH_IN,259551.46,C2001018972,1144211.98,1403763.44,C1938612885,323359.88,358721.48,0,0
400,CASH_OUT,32871.21,C1227426080,34483.0,1611.79,C1620873374,699434.55,732305.76,0,0
158,CASH_IN,68991.18,C1085358734,45905.92,114897.09,C1402557359,1986906.82,1917915.64,0,0
209,PAYMENT,1135.88,C1835000716,78276.0,77140.12,M305853383,0.0,0.0,0,0
403,TRANSFER,394032.87,C1363329861,0.0,0.0,C463530280,1553310.59,1947343.46,0,0
9,CASH_IN,460012.82,C1996158650,29943.0,489955.82,C545707113,15719.79,0.0,0,0
185,CASH_IN,76558.0,C1120329823,1242725.73,1319283.73,C55431965,2479401.92,2538385.16,0,0
164,PAYMENT,9465.14,C1050518306,4946.0,0.0,M333928440,0.0,0.0,0,0
228,TRANSFER,2116862.2,C237230316,15484.0,0.0,C295578672,2180133.34,4296995.54,0,0
325,TRANSFER,1009484.97,C884083227,20906.0,0.0,C1885743666,366978.91,1376463.88,0,0
47,CASH_IN,103470.23,C1123794943,2277950.2,2381420.43,C688168823,546380.74,442910.51,0,0
179,CASH_IN,284337.53,C447627430,1419395.78,1703733.31,C875410615,953231.95,668894.43,0,0
356,TRANSFER,161914.63,C1853325575,0.0,0.0,C541395442,2890592.07,3052506.7,0,0
282,TRANSFER,111915.32,C1618040212,0.0,0.0,C248687235,2048929.05,2160844.37,0,0
234,CASH_IN,161096.04,C1552932157,4305638.13,4466734.17,C963712724,4630348.77,4469252.73,0,0
255,TRANSFER,220087.32,C505856415,0.0,0.0,C1190716101,1775085.29,1995172.61,0,0
159,PAYMENT,4590.23,C1104453919,0.0,0.0,M715410770,0.0,0.0,0,0
37,CASH_OUT,232200.0,C1046658235,0.0,0.0,C825203604,741269.05,1335784.29,0,0
215,PAYMENT,14424.91,C391753086,341031.66,326606.75,M591086382,0.0,0.0,0,0
38,CASH_IN,135034.07,C181667125,21412.0,156446.07,C1168215346,1251537.12,1116503.04,0,0
334,CASH_OUT,30533.99,C1940785130,613.0,0.0,C1694076973,34941.49,65475.47,0,0
518,CASH_OUT,199291.42,C68632471,0.0,0.0,C2076138435,650663.85,849955.27,0,0
38,CASH_IN,149759.86,C1396669052,54849.0,204608.86,C630578864,473684.13,323924.26,0,0
209,PAYMENT,413.74,C1421426302,439011.08,438597.34,M299481981,0.0,0.0,0,0
178,CASH_IN,65339.79,C384671720,1727712.06,1793051.84,C1173501410,387474.88,322135.09,0,0
398,PAYMENT,15852.15,C204581825,0.0,0.0,M1474696628,0.0,0.0,0,0
213,DEBIT,3646.17,C782617002,1095.0,0.0,C166173766,775378.92,779025.09,0,0
35,CASH_IN,43740.46,C2119683645,1610594.83,1654335.29,C704524813,77612.73,33872.26,0,0
301,CASH_IN,28362.06,C109189373,82917.0,111279.06,C382353723,269683.61,241321.55,0,0
9,TRANSFER,420232.54,C740121659,1861043.8,1440811.27,C794651201,36.0,503272.27,0,0
211,CASH_OUT,86515.91,C888035207,40814.0,0.0,C1760541245,333589.89,420105.8,0,0
372,PAYMENT,2446.03,C654814185,80996.0,78549.97,M1511123830,0.0,0.0,0,0
300,CASH_IN,166419.49,C1057892060,3196831.01,3363250.5,C1627403249,639098.92,472679.43,0,0
566,PAYMENT,11180.21,C1083726362,0.0,0.0,M1444703848,0.0,0.0,0,0
205,CASH_IN,340937.43,C591513053,150.0,341087.43,C1651566999,4522.26,0.0,0,0
130,PAYMENT,6156.23,C918032883,20805.0,14648.77,M1311049454,0.0,0.0,0,0
139,CASH_IN,67586.55,C121949985,11385580.47,11453167.02,C85669447,2067565.72,1988506.13,0,0
661,PAYMENT,930.29,C2089098196,18845.36,17915.07,M443679274,0.0,0.0,0,0
137,CASH_IN,140247.02,C439284001,121643.0,261890.02,C837029849,0.0,0.0,0,0
15,CASH_OUT,166263.78,C1528921054,0.0,0.0,C1788384838,4822989.66,4989253.43,0,0
401,PAYMENT,13081.07,C373231330,0.0,0.0,M230316124,0.0,0.0,0,0
358,DEBIT,3234.2,C1915995298,10767.0,7532.8,C726524787,548111.15,551345.35,0,0
275,CASH_OUT,276225.68,C1013799236,20286.0,0.0,C2080965016,3791416.91,4067642.59,0,0
204,CASH_OUT,36670.52,C1807082297,0.0,0.0,C692072890,853417.72,890088.24,0,0
17,CASH_OUT,295804.3,C2107923420,5193.0,0.0,C1217680952,855730.19,1151534.5,0,0
301,CASH_IN,244639.56,C1042699000,4591481.89,4836121.45,C1086310450,3196550.83,3181151.97,0,0
280,CASH_IN,257135.27,C1562799521,8266550.6,8523685.87,C1685931894,370658.98,113523.71,0,0
688,PAYMENT,5702.02,C390254646,0.0,0.0,M1158848834,0.0,0.0,0,0
131,CASH_OUT,472709.77,C1761660635,0.0,0.0,C1987335547,505934.85,978644.61,0,0
153,CASH_IN,386833.28,C224858486,13346.0,400179.28,C1191652178,3088025.42,2701192.14,0,0
255,CASH_OUT,3548.33,C32730957,0.0,0.0,C1779337377,7608.5,11156.83,0,0
201,PAYMENT,4742.2,C1831194455,843.0,0.0,M1582683327,0.0,0.0,0,0
301,CASH_IN,144853.27,C376345328,4805098.93,4949952.2,C13868023,535558.84,225178.31,0,0
207,CASH_OUT,153964.35,C1800071790,19820.0,0.0,C846756583,81552.89,235517.25,0,0
306,PAYMENT,23207.71,C1765181402,16845.0,0.0,M1485351491,0.0,0.0,0,0
251,CASH_OUT,111639.11,C619743071,0.0,0.0,C1604828866,6211892.4,6323531.51,0,0
659,TRANSFER,401329.79,C1236799587,0.0,0.0,C668014377,859015.77,1260345.57,0,0
299,PAYMENT,1308.35,C679729470,15973.0,14664.65,M1230367470,0.0,0.0,0,0
640,CASH_IN,202734.9,C2091763940,1517250.29,1719985.19,C1704346391,465873.85,263138.95,0,0
181,PAYMENT,24244.54,C2088098452,9067.0,0.0,M1884529524,0.0,0.0,0,0
403,CASH_IN,163028.9,C882051754,578.0,163606.9,C687814467,945771.95,782743.05,0,0
328,PAYMENT,60993.03,C1027040503,366.0,0.0,M698034127,0.0,0.0,0,0
184,CASH_OUT,258647.55,C968715658,75466.42,0.0,C1626732895,1266097.43,1524744.98,0,0
692,CASH_OUT,52748.58,C2103479314,0.0,0.0,C1234696281,185055.46,237804.04,0,0
399,CASH_OUT,161188.64,C373003410,0.0,0.0,C774333079,347612.21,508800.85,0,0
34,PAYMENT,8981.49,C859534517,197181.75,188200.26,M1029087383,0.0,0.0,0,0
253,CASH_IN,171447.36,C1426695858,151241.0,322688.36,C705553450,0.0,0.0,0,0
227,PAYMENT,116517.65,C792844551,615841.12,499323.48,M853083786,0.0,0.0,0,0
353,CASH_IN,359826.84,C1915139225,21570.0,381396.84,C603971114,211547.52,0.0,0,0
235,CASH_IN,294846.64,C1481558643,2464396.29,2759242.92,C148759972,5495956.52,5201109.89,0,0
178,PAYMENT,7582.61,C712649375,35822.0,28239.39,M1886237209,0.0,0.0,0,0
251,PAYMENT,25607.38,C1659833352,43857.16,18249.78,M818870315,0.0,0.0,0,0
157,PAYMENT,9275.76,C938675166,0.0,0.0,M983246652,0.0,0.0,0,0
201,CASH_IN,346505.86,C1746803445,59719.0,406224.86,C1540132656,889638.9,543133.04,0,0
422,PAYMENT,39668.87,C269264382,208972.5,169303.63,M128401330,0.0,0.0,0,0
347,CASH_OUT,41261.49,C999773246,0.0,0.0,C1109451022,168706.81,209968.3,0,0
404,TRANSFER,47067.57,C1900162093,0.0,0.0,C95928735,121061.78,168129.35,0,0
352,CASH_OUT,69762.63,C1165908797,0.0,0.0,C893835138,523347.37,593110.01,0,0
306,CASH_IN,60497.68,C1921066939,27546226.16,27606723.84,C79467401,5401670.32,5341172.64,0,0
202,PAYMENT,392.28,C1390768734,447753.97,447361.68,M210399153,0.0,0.0,0,0
349,CASH_OUT,201373.82,C81907417,0.0,0.0,C1064363366,3068553.44,3269927.26,0,0
280,CASH_IN,59076.63,C1552341520,298779.0,357855.63,C2135895744,934539.95,875463.31,0,0
156,CASH_IN,108193.73,C1407608446,870255.0,978448.73,C22845568,109414.43,132284.06,0,0
255,PAYMENT,11495.6,C622201271,10978.0,0.0,M1548682282,0.0,0.0,0,0
34,CASH_OUT,319256.48,C1636649370,82598.0,0.0,C1487088083,7398.0,5529826.66,0,0
17,PAYMENT,11663.53,C227409921,53176.0,41512.47,M1777767870,0.0,0.0,0,0
381,PAYMENT,3715.3,C1744408255,0.0,0.0,M1764411077,0.0,0.0,0,0
573,CASH_OUT,80670.32,C1417382734,59934.0,0.0,C382748417,0.0,80670.32,0,0
348,CASH_IN,90269.77,C166881027,659926.99,750196.76,C1718887747,1261440.78,1171171.02,0,0
545,PAYMENT,57569.51,C655692594,11656.0,0.0,M344445756,0.0,0.0,0,0
10,PAYMENT,8770.66,C1872379890,638.0,0.0,M1986242055,0.0,0.0,0,0
236,PAYMENT,29016.6,C1147534087,191904.07,162887.48,M574346628,0.0,0.0,0,0
158,CASH_IN,74749.55,C1507806292,5342608.47,5417358.02,C707095981,1864812.96,1790063.41,0,0
232,CASH_IN,192716.73,C92844834,15140186.25,15332902.98,C1213954612,5946157.05,5753440.32,0,0
